,pred
0,263885.92
1,1907215.6
2,462328.86666666664
3,419920.5639047619
4,606177.5
5,1163405.0
6,608966.0
7,195362.41682539682
8,1425532.49
9,463526.49
10,2944067.4523809524
11,679335.0
12,646784.39
13,380075.86666666664
14,1178250.0
15,2684668.813333334
16,462569.9
17,528944.92
18,2820989.76
19,2140780.0
20,363404.33928571426
21,627137.58
22,297315.92088095244
23,537716.015
24,1039839.71
25,2391476.28
26,347436.08
27,394706.3
28,1058214.2941428572
29,518018.16
30,535002.68
31,896090.0
32,675701.9816666667
33,937037.21
34,418787.32
35,1181900.0
36,182243.09352428853
37,495929.9266666667
38,1175562.6112539684
39,348267.4639779663
40,237799.4756346521
41,244110.94736836903
42,661040.0
43,1062663.0
44,1005781.44
45,1471236.45
46,1269983.131194786
47,1357580.0
48,796852.0476190476
49,532627.47
50,345880.54
51,443765.88
52,948376.19
53,232495.32753063933
54,696063.11
55,701464.1666666665
56,1144913.335
57,1476792.0
58,430535.03
59,926687.9604978354
60,526436.4104212454
61,1486258.4279766069
62,654641.92
63,2121180.0
64,626612.5
65,568120.0
66,2390095.0
67,1449159.0
68,515900.8154761905
69,187806.6785714286
70,287354.93843795086
71,203096.47880952377
72,289198.77444966644
73,505770.0
74,353248.33333333326
75,1415681.57
76,673867.0909285715
77,1524015.0
78,300110.651992674
79,516203.5
80,174331.2142857143
81,1343402.1875000002
82,680045.0
83,2548950.0
84,689605.0
85,217817.34845238095
86,584960.7416575406
87,312114.2
88,2029801.8473470975
89,1236597.97
90,1326197.94
91,618380.19
92,302070.0
93,488813.3333333334
94,301398.2925
95,451413.85
96,584960.7416575406
97,509534.65
98,1340453.9906179376
99,1951781.4
100,2231184.16
101,2525285.04
102,733054.8035714285
103,261386.09166666665
104,1714740.95
105,1132990.0
106,1654406.92
107,783112.0
108,1055635.53
109,435954.2766666666
110,506136.77
111,795900.0
112,606107.33
113,600300.94
114,267187.37
115,683764.66
116,923973.5066322567
117,588106.07
118,3193343.57
119,1634461.85
120,1113042.16
121,1488025.97
122,555708.09
123,702368.26
124,1183470.0
125,807719.94
126,467583.0
127,864737.9
128,1024726.93
129,411766.0633333333
130,601067.78
131,3299950.0
132,721746.87
133,595413.7
134,1004359.96
135,930961.48
136,1221630.0
137,912552.21
138,3308792.73
139,326665.4689263664
140,286912.78134365636
141,370810.51
142,520936.96
143,294734.9633333334
144,738904.8
145,930388.4
146,873435.7693695195
147,762038.5515873019
148,237799.4756346521
149,275486.9766666667
150,459254.56
151,199865.8333333334
152,437239.8
153,252860.0
154,549138.79
155,327416.19047619053
156,308550.0
157,560551.7658730159
158,794633.8166666668
159,690791.4609955439
160,573256.85
161,732092.6811008436
162,740733.35
163,650634.6149373288
164,511899.5
165,324901.54200839193
166,205293.01984126982
167,283887.1
168,351309.22619047627
169,503495.77
170,765361.4285714285
171,531932.62
172,2149975.0
173,992798.2738095239
174,692824.9484126985
175,645764.5
176,618794.5
177,791156.3
178,2017567.77
179,425070.0
180,304710.70523809525
181,1032352.4600260849
182,477184.99
183,651892.2343767344
184,368477.3646031746
185,938621.13
186,3088979.33
187,375122.9719523809
188,819496.0700000002
189,1754264.3690476187
190,420188.9066666666
191,562425.0533333333
192,360418.74
193,382897.36
194,687841.7033333333
